date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2018-12-25 13:26:44,SarahMillican75,sezl,1,0,1,Amazing. I expect a lot of pics on FB. X,,,,1077556248122441728,https://twitter.com/SarahMillican75/status/1077556248122441728
2018-12-25 13:26:23,SarahMillican75,yozzie_osman,16,8,142,Oh thanks Yozzie! MUPPETS CHRISTMAS CAROL!!https://twitter.com/yozzie_osman/status/1077555672072507392 …,,,,1077556160847331328,https://twitter.com/SarahMillican75/status/1077556160847331328
2018-12-25 13:22:27,SarahMillican75,sezl,1,0,3,Puppies!! #joinin,,,#joinin,1077555172950315009,https://twitter.com/SarahMillican75/status/1077555172950315009
2018-12-25 13:20:58,SarahMillican75,janehill64,2,1,61,Oooh Bake Off. Yes please.https://twitter.com/janehill64/status/1077546023436701698 …,,,,1077554796415074306,https://twitter.com/SarahMillican75/status/1077554796415074306
2018-12-25 13:20:28,SarahMillican75,janehill64,1,0,6,"That’s all of them, isn’t it? #joinin",,,#joinin,1077554673601732608,https://twitter.com/SarahMillican75/status/1077554673601732608
2018-12-25 13:17:46,SarahMillican75,nrem511,1,0,11,Raising my mug to him now. Sending lots of love. #joininpic.twitter.com/fVMp4594Ys,,,#joininpic,1077553992065056769,https://twitter.com/SarahMillican75/status/1077553992065056769
2018-12-25 13:16:36,SarahMillican75,leed1973,2,0,21,"Hiya Lee, got any plans for today? Any choccies or cheese squirrelled away? What are you watching later? #joinin",,,#joinin,1077553699688509440,https://twitter.com/SarahMillican75/status/1077553699688509440
2018-12-25 13:15:39,SarahMillican75,theardentwake,0,0,0,"That is a great fact. Also, I think you just have what you want. Screw traditions indeed. #joinin",,,#joinin,1077553461070307328,https://twitter.com/SarahMillican75/status/1077553461070307328
2018-12-25 13:14:46,SarahMillican75,SamPritchard,10,1,162,"#joinin my dog, Commander Tuvok.pic.twitter.com/UqfWwmzJK5",,,#joinin,1077553236058484736,https://twitter.com/SarahMillican75/status/1077553236058484736
2018-12-25 13:13:38,SarahMillican75,Mr_Picard,1,0,1,Have a listen when you get a spare minute. https://aca.st/d31820 x #joinin,,,#joinin,1077552952250900480,https://twitter.com/SarahMillican75/status/1077552952250900480
2018-12-25 13:10:17,SarahMillican75,tm_spencer,1,0,4,Which Scrooge? I like the Albert Finny version. No need to contemplate Second Dinner. PERMISSION GRANTED. #joinin,,,#joinin,1077552109900517378,https://twitter.com/SarahMillican75/status/1077552109900517378
2018-12-25 13:09:30,SarahMillican75,zoiiel90,4,1,22,"Hi Zoe, you’re doing great. Today can be the pits. Can you put the telly on to kill some time? #joinin",,,#joinin,1077551914215198720,https://twitter.com/SarahMillican75/status/1077551914215198720
2018-12-25 13:08:34,SarahMillican75,Scriblit,2,1,7,"You mean, granules and the kettle yes? #joinin",,,#joinin,1077551678042370048,https://twitter.com/SarahMillican75/status/1077551678042370048
2018-12-25 13:08:12,SarahMillican75,diabetic_me,8,1,22,What are we chatting about then? What are you watching on telly later? #joinin,,,#joinin,1077551586937921536,https://twitter.com/SarahMillican75/status/1077551586937921536
2018-12-25 13:07:16,SarahMillican75,LPC1231,1,1,3,I’m so glad we helped lift you a bit. Enjoy your dinner. Looking forward to that smiling photo. Xxx #joinin,,,#joinin,1077551348688871426,https://twitter.com/SarahMillican75/status/1077551348688871426
2018-12-25 13:06:22,SarahMillican75,teresatrousers,1,1,15,"So sorry to hear that, Teresa. I’m so glad she had you to look after her. We are here if you need us. Got anyone with you to chat about her with? #joinin",,,#joinin,1077551125551812608,https://twitter.com/SarahMillican75/status/1077551125551812608
2018-12-25 13:05:24,SarahMillican75,TMcCMac1,1,0,47,Oh so sorry for your loss. That’s so very sad. Mac looks like he will keep you company and make you smile. I hope so. Animals are so wonderful to us. Here’s one of mine. #joininpic.twitter.com/j2Nba6zKtD,,,#joininpic,1077550881766363136,https://twitter.com/SarahMillican75/status/1077550881766363136
2018-12-25 13:02:42,SarahMillican75,EvieFarmer20,1,1,4,"Sending lots of love, Evie. #joinin",,,#joinin,1077550200892346369,https://twitter.com/SarahMillican75/status/1077550200892346369
2018-12-25 13:01:01,SarahMillican75,PrivateNemo,0,0,1,"So sorry for your loss, John. Sending humbuggy hugs to you and your dad. #joinin xx",,,#joinin,1077549777334796289,https://twitter.com/SarahMillican75/status/1077549777334796289
2018-12-25 12:59:13,SarahMillican75,kirstystew,2,1,62,Good lass re Quality Street. Sweets go in a separate stomach. #joinin,,,#joinin,1077549323448135680,https://twitter.com/SarahMillican75/status/1077549323448135680
2018-12-25 12:42:47,SarahMillican75,commoner64,1,0,4,Hello!,,,,1077545188434812928,https://twitter.com/SarahMillican75/status/1077545188434812928
2018-12-25 12:42:23,SarahMillican75,leemears88,2,0,10,It really can. Sending love. How are you doing? #joinin,,,#joinin,1077545087431782400,https://twitter.com/SarahMillican75/status/1077545087431782400
2018-12-25 12:40:48,SarahMillican75,fitzz7,1,0,4,"That is so nice. I love it when that happens. Got any nice treats in to eat, Tony? #joinin",,,#joinin,1077544689606246400,https://twitter.com/SarahMillican75/status/1077544689606246400
2018-12-25 12:40:03,SarahMillican75,KathrynHavelock,2,0,3,Sending hugs and love to both of you. Such a tough time of year when you’ve lost someone close. So sorry for your losses. Hope you can chat to people who knew your mams and tell stories about them. #joinin,,,#joinin,1077544499629441024,https://twitter.com/SarahMillican75/status/1077544499629441024
2018-12-25 12:37:11,SarahMillican75,,549,44,1994,What are we all watching on telly today then? I vote for @bbcstrictly at 5:30pm please. What else? #joinin,,@bbcstrictly,#joinin,1077543778167205888,https://twitter.com/SarahMillican75/status/1077543778167205888
2018-12-25 12:36:14,SarahMillican75,,0,0,2,"Hello, sorry you’re having a tough time. Sending lots of love. #joinin",,,#joinin,1077543539192619008,https://twitter.com/SarahMillican75/status/1077543539192619008
2018-12-25 12:33:45,SarahMillican75,LeaMerone,3,0,1,Guess again... #joinin,,,#joinin,1077542916023902208,https://twitter.com/SarahMillican75/status/1077542916023902208
2018-12-25 12:33:03,SarahMillican75,Shelleyrosejo,3,0,27,"That is hard, Shelley. You’re doing a great job. Stay strong. And dip in on here when you need to. We’re all here for you. #joinin",,,#joinin,1077542738038538241,https://twitter.com/SarahMillican75/status/1077542738038538241
2018-12-25 12:31:54,SarahMillican75,,54,47,995,"#joinin Here is a video of my best boy, Commander Tuvok eating his Christmas treats. Sound on for crunchy noises.pic.twitter.com/cBJ4BDoS5s",,,#joinin,1077542451504730112,https://twitter.com/SarahMillican75/status/1077542451504730112
2018-12-25 12:27:18,SarahMillican75,SaltireLady,3,0,60,"We are all here. Plus, no need to wear a bra for us! #joinin",,,#joinin,1077541291645374464,https://twitter.com/SarahMillican75/status/1077541291645374464
2018-12-25 12:26:43,SarahMillican75,Blackloop4,1,0,3,Good plans. Lots of love. #joinin,,,#joinin,1077541145356439553,https://twitter.com/SarahMillican75/status/1077541145356439553
